Objects;Threads;AvgTime;Speedup;Efficiency
100;1;0.000560;1.00;1.00
100;2;0.000344;1.63;0.81
100;4;0.000247;2.26;0.57
100;6;0.000666;0.84;0.14
100;8;0.000292;1.92;0.24
100;10;0.000308;1.82;0.18
100;12;0.000284;1.97;0.16
500;1;0.002765;1.00;1.00
500;2;0.001246;2.22;1.11
500;4;0.001120;2.47;0.62
500;6;0.000946;2.92;0.49
500;8;0.000775;3.57;0.45
500;10;0.000782;3.53;0.35
500;12;0.000764;3.62;0.30
1000;1;0.009319;1.00;1.00
1000;2;0.004691;1.99;0.99
1000;4;0.003102;3.00;0.75
1000;6;0.002774;3.36;0.56
1000;8;0.002742;3.40;0.42
1000;10;0.002028;4.59;0.46
1000;12;0.002875;3.24;0.27
1500;1;0.016759;1.00;1.00
1500;2;0.009558;1.75;0.88
1500;4;0.005896;2.84;0.71
1500;6;0.006104;2.75;0.46
1500;8;0.005018;3.34;0.42
1500;10;0.005098;3.29;0.33
1500;12;0.005435;3.08;0.26
2500;1;0.050627;1.00;1.00
2500;2;0.027469;1.84;0.92
2500;4;0.018703;2.71;0.68
2500;6;0.018186;2.78;0.46
2500;8;0.014642;3.46;0.43
2500;10;0.016254;3.11;0.31
2500;12;0.011498;4.40;0.37
5000;1;0.134648;1.00;1.00
5000;2;0.080581;1.67;0.84
5000;4;0.051302;2.62;0.66
5000;6;0.051561;2.61;0.44
5000;8;0.040087;3.36;0.42
5000;10;0.042531;3.17;0.32
5000;12;0.041880;3.22;0.27
10000;1;0.444561;1.00;1.00
10000;2;0.282786;1.57;0.79
10000;4;0.183214;2.43;0.61
10000;6;0.181549;2.45;0.41
10000;8;0.152978;2.91;0.36
10000;10;0.165484;2.69;0.27
10000;12;0.151873;2.93;0.24
20000;1;1.521572;1.00;1.00
20000;2;0.874675;1.74;0.87
20000;4;0.677082;2.25;0.56
20000;6;0.665441;2.29;0.38
20000;8;0.545608;2.79;0.35
20000;10;0.523381;2.91;0.29
20000;12;0.538687;2.82;0.24
50000;1;8.001037;1.00;1.00
50000;2;4.769384;1.68;0.84
50000;4;3.422695;2.34;0.58
50000;6;3.507838;2.28;0.38
50000;8;2.807689;2.85;0.36
50000;10;2.870083;2.79;0.28
50000;12;2.855255;2.80;0.23
100000;1;28.575979;1.00;1.00
100000;2;16.834281;1.70;0.85
100000;4;12.855313;2.22;0.56
100000;6;13.029585;2.19;0.37
100000;8;10.775108;2.65;0.33
100000;10;10.779537;2.65;0.27
100000;12;10.875275;2.63;0.22
