Objects;Threads;Time_TP;S_TP;E_TP;Time_FJ;S_FJ;E_FJ
100;1;0.000564;1.00;1.00;0.000564;1.00;1.00
100;2;0.000451;1.25;0.62;0.000432;1.30;0.65
100;4;0.000473;1.19;0.30;0.000439;1.28;0.32
100;6;0.000306;1.84;0.31;0.000223;2.53;0.42
100;8;0.000260;2.17;0.27;0.000273;2.07;0.26
100;10;0.000180;3.14;0.31;0.000227;2.48;0.25
100;12;0.000192;2.93;0.24;0.000203;2.78;0.23
500;1;0.002480;1.00;1.00;0.002480;1.00;1.00
500;2;0.001778;1.39;0.70;0.001763;1.41;0.70
500;4;0.001286;1.93;0.48;0.001296;1.91;0.48
500;6;0.000994;2.49;0.42;0.001200;2.07;0.34
500;8;0.001279;1.94;0.24;0.000798;3.11;0.39
500;10;0.000619;4.00;0.40;0.000663;3.74;0.37
500;12;0.000593;4.18;0.35;0.000581;4.27;0.36
1000;1;0.006596;1.00;1.00;0.006596;1.00;1.00
1000;2;0.003947;1.67;0.84;0.003987;1.65;0.83
1000;4;0.002626;2.51;0.63;0.002662;2.48;0.62
1000;6;0.002060;3.20;0.53;0.002391;2.76;0.46
1000;8;0.002370;2.78;0.35;0.002448;2.69;0.34
1000;10;0.002228;2.96;0.30;0.002832;2.33;0.23
1000;12;0.001768;3.73;0.31;0.002022;3.26;0.27
1500;1;0.018074;1.00;1.00;0.018074;1.00;1.00
1500;2;0.010129;1.78;0.89;0.011253;1.61;0.80
1500;4;0.006181;2.92;0.73;0.006941;2.60;0.65
1500;6;0.004518;4.00;0.67;0.005808;3.11;0.52
1500;8;0.005148;3.51;0.44;0.005115;3.53;0.44
1500;10;0.005670;3.19;0.32;0.004134;4.37;0.44
1500;12;0.004660;3.88;0.32;0.004423;4.09;0.34
2500;1;0.045177;1.00;1.00;0.045177;1.00;1.00
2500;2;0.022360;2.02;1.01;0.019742;2.29;1.14
2500;4;0.014612;3.09;0.77;0.015759;2.87;0.72
2500;6;0.011841;3.82;0.64;0.013186;3.43;0.57
2500;8;0.012332;3.66;0.46;0.011840;3.82;0.48
2500;10;0.011814;3.82;0.38;0.011894;3.80;0.38
2500;12;0.011091;4.07;0.34;0.011256;4.01;0.33
5000;1;0.126153;1.00;1.00;0.126153;1.00;1.00
5000;2;0.074107;1.70;0.85;0.078311;1.61;0.81
5000;4;0.051457;2.45;0.61;0.052196;2.42;0.60
5000;6;0.043803;2.88;0.48;0.052071;2.42;0.40
5000;8;0.043257;2.92;0.36;0.044356;2.84;0.36
5000;10;0.042181;2.99;0.30;0.040842;3.09;0.31
5000;12;0.041667;3.03;0.25;0.039157;3.22;0.27
10000;1;0.441973;1.00;1.00;0.441973;1.00;1.00
10000;2;0.259424;1.70;0.85;0.275245;1.61;0.80
10000;4;0.178341;2.48;0.62;0.185097;2.39;0.60
10000;6;0.150121;2.94;0.49;0.181366;2.44;0.41
10000;8;0.148920;2.97;0.37;0.143593;3.08;0.38
10000;10;0.156362;2.83;0.28;0.146841;3.01;0.30
10000;12;0.131262;3.37;0.28;0.147941;2.99;0.25
20000;1;1.547344;1.00;1.00;1.547344;1.00;1.00
20000;2;0.902373;1.71;0.86;0.922129;1.68;0.84
20000;4;0.617680;2.51;0.63;0.640248;2.42;0.60
20000;6;0.536053;2.89;0.48;0.617062;2.51;0.42
20000;8;0.523692;2.95;0.37;0.502499;3.08;0.38
20000;10;0.528922;2.93;0.29;0.495808;3.12;0.31
20000;12;0.442428;3.50;0.29;0.510443;3.03;0.25
50000;1;7.813816;1.00;1.00;7.813816;1.00;1.00
50000;2;4.713746;1.66;0.83;4.803345;1.63;0.81
50000;4;3.384923;2.31;0.58;3.289523;2.38;0.59
50000;6;2.826979;2.76;0.46;3.378045;2.31;0.39
50000;8;2.901472;2.69;0.34;2.660001;2.94;0.37
50000;10;2.844878;2.75;0.27;2.732367;2.86;0.29
50000;12;2.217577;3.52;0.29;2.686678;2.91;0.24
100000;1;27.383925;1.00;1.00;27.383925;1.00;1.00
100000;2;14.523741;1.89;0.94;14.781187;1.85;0.93
100000;4;10.216168;2.68;0.67;10.626882;2.58;0.64
100000;6;9.351707;2.93;0.49;10.302167;2.66;0.44
100000;8;8.521729;3.21;0.40;8.613749;3.18;0.40
100000;10;8.568552;3.20;0.32;8.544621;3.20;0.32
100000;12;7.425994;3.69;0.31;8.464272;3.24;0.27
